student_id,gpa,research_papers,hackathons,projects
247,8.40704011451453,244,472,610
362,7.8616453115828335,341,392,862
66,6.175756017910317,776,624,250
29,6.388998025795445,844,552,202
80,5.628690236480907,581,696,429
414,2.390607109759003,880,422,724
474,1.080100660212338,367,105,350
431,5.774040951393545,786,74,100
391,6.450929553015158,262,193,221
256,9.107103041838855,356,622,226
24,6.216411798028275,698,606,622
93,6.514656735351309,39,575,302
171,8.590315668145195,549,631,246
14,3.6127686246763915,760,678,602
417,8.830903406720608,818,337,789
350,3.2644862798042595,744,554,173
190,9.305476071080193,971,608,492
154,5.813038019929081,41,879,538
228,9.101356517989188,731,692,35
261,9.405159004963934,657,722,196
182,5.303569879150018,994,435,82
1,8.407183061586693,995,386,565
415,6.106310332426801,351,955,775
425,2.541878218529746,404,781,865
497,9.23027751664631,857,514,596
495,7.087717989925295,30,541,855
293,7.728762667160481,264,413,546
482,6.562089629936963,702,465,879
372,6.557732800487429,216,275,646
310,4.7702500354498625,116,689,633
399,1.065244774101302,962,971,718
153,4.59844091697596,200,450,203
19,5.967596737435088,694,341,159
139,6.048058733111247,657,36,496
251,8.45888303220272,299,634,240
438,4.709497058298439,925,897,835
135,1.1388078599702567,235,508,721
288,2.4583139359019697,701,457,279
499,4.476131027098745,503,338,632
475,2.6418609123211354,915,132,93
301,4.669695819495246,731,454,585
466,7.148184888530523,602,921,548
431,6.2917209474835545,440,409,15
152,1.1415709145367146,296,992,294
302,6.147490614326671,897,55,795
316,6.096901480574161,708,219,390
404,2.1067102514207363,944,874,172
66,1.6549665343482047,653,806,715
498,9.94516955409199,657,251,56
99,7.631013113539666,222,221,886
490,1.9192070439457893,655,170,666
174,4.093195826280862,944,615,176
288,9.349306168034673,396,657,69
61,8.131755854468793,535,621,740
396,4.862504061311483,855,165,32
432,1.719938609516248,392,523,154
448,9.953713764436543,200,670,532
309,9.426748941419646,214,225,133
306,5.779416573932394,896,318,917
337,6.572929865680635,849,727,994
330,5.062050682725385,732,214,601
485,4.945915162563324,766,424,106
277,1.335478285793215,689,427,775
482,8.161069381516427,959,665,243
